xy_group_id,lon,lat,country,country_code,source,source_id,n_records,n_extract_ids,n_classes,n_class_groups,n_priority_records,n_no_spectral_data,n_rare_spectral_records,n_thematic_conflict_records,max_alert_rank,median_ndvi,median_ndre,median_months_obs,max_spectral_alert_level,pct_priority_records,has_multiple_classes,has_multiple_class_groups
SRC10_CRI_2021__XY__d7c1b607e02f,-85.67253,10.238581,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.8413241480494453,0.6328159480868076,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d7c1e0a1e2c6,-85.345554,10.286046,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.46487195301726186,0.3471884961559911,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d7c6a39c2b01,-85.647464,10.363492,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.22382235006010065,0.16961181369639106,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d7c6dec20516,-85.804926,10.147392,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,-0.0855922324151073,-0.06530585520438359,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d7dcb2df655e,-85.292867,10.269272,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.906934192251634,0.6667203671215036,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d7dff1bd2f1c,-85.257534,10.529616,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.4211506380530601,0.3322070370986081,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d7e15d71537b,-85.409797,10.463051,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.40646437995764945,0.22477217827901425,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d7e334039ba8,-85.558922,10.304299,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.8655411744354903,0.6286846511292206,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d7e4424537d2,-85.227444,10.26832,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.9077011884712443,0.7023428937422527,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d7e45d18c599,-85.252136,10.106527,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.8844126688238896,0.6404260347683854,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d7e742fac644,-85.396967,10.426909,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.32742233377735197,0.19023785371705182,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d7e7d95c17e0,-85.44143,10.454464,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.6493974741469462,0.4156852807394557,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d7f655c4b042,-85.578113,10.344022,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.7112346810432473,0.44356995626291373,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d7f97633143d,-85.597925,10.504392,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.6826348510292619,0.543171752285019,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d8286d606356,-85.271288,10.501936,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,1,0,2,0.7202721323718184,0.44914733071195556,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d82871a5fd98,-85.535341,10.158514,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.8268010451661066,0.6109525455053353,11.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d82ef2f84b76,-85.453029,10.213882,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.8277576885703417,0.5924483330299646,11.0,sin_alerta,0.0,0,0
