xy_group_id,lon,lat,n_registros,n_paises,n_fuentes,n_anios,n_nivel1,n_nivel2,anio_min,anio_max,pais_grupo,conf_integrada_promedio,conf_integrada_min,conf_integrada_max,tipo_grupo_xy
XY_000000473734,-89.162735,15.949045,19,1,1,19,1,1,2000,2018,Belice,95.54812976519622,95.54812976519622,95.54812976519622,multitemporal_xy
XY_000000473760,-89.162542,15.930977,19,1,1,19,1,1,2000,2018,Belice,94.5611789061079,94.5611789061079,94.5611789061079,multitemporal_xy
XY_000000473766,-89.162537,16.780234,19,1,1,19,1,1,2000,2018,Belice,87.54897229959751,87.54897229959751,87.54897229959751,multitemporal_xy
XY_000000473784,-89.162445,15.921943,19,1,1,19,1,1,2000,2018,Belice,42.571742330985956,42.571742330985956,42.571742330985956,multitemporal_xy
XY_000000473785,-89.162435,16.771201,19,1,1,19,1,1,2000,2018,Belice,82.19970044820639,82.19970044820639,82.19970044820639,multitemporal_xy
XY_000000473812,-89.16234799999998,15.912909,19,1,1,19,1,1,2000,2018,Belice,47.709476346394055,47.709476346394055,47.709476346394055,multitemporal_xy
XY_000000473837,-89.16225199999998,15.903875,19,1,1,19,1,1,2000,2018,Belice,61.779135321922766,61.779135321922766,61.779135321922766,multitemporal_xy
XY_000000473848,-89.162231,16.753135,19,1,1,19,1,1,2000,2018,Belice,96.3751308973861,96.3751308973861,96.3751308973861,multitemporal_xy
XY_000000473880,-89.16212899999998,16.744101,19,1,1,19,1,1,2000,2018,Belice,97.32638948749685,97.32638948749685,97.32638948749685,multitemporal_xy
XY_000000473946,-89.16192499999998,16.726035,19,1,1,19,1,1,2000,2018,Belice,94.83931424803498,94.83931424803498,94.83931424803498,multitemporal_xy
XY_000000473973,-89.161823,16.717001,19,1,1,19,1,1,2000,2018,Belice,74.31328639517241,74.31328639517241,74.31328639517241,multitemporal_xy
XY_000000474004,-89.16172199999998,16.707968,19,1,1,19,1,1,2000,2018,Belice,60.235004370026275,60.23500437002628,60.23500437002628,multitemporal_xy
XY_000000474043,-89.16162,16.698935,19,1,1,19,1,1,2000,2018,Belice,96.6770670107642,96.6770670107642,96.6770670107642,multitemporal_xy
XY_000000474074,-89.161518,16.689901,19,1,1,19,1,1,2000,2018,Belice,59.910482881156874,59.910482881156874,59.910482881156874,multitemporal_xy
XY_000000474109,-89.161417,16.680868,19,1,1,19,1,1,2000,2018,Belice,89.51399549528699,89.51399549528699,89.51399549528699,multitemporal_xy
XY_000000474147,-89.161315,16.671835,19,1,1,19,1,1,2000,2018,Belice,89.77491192209841,89.77491192209841,89.77491192209841,multitemporal_xy
XY_000000474179,-89.161214,16.662801,19,1,1,19,1,1,2000,2018,Belice,89.98149771671095,89.98149771671095,89.98149771671095,multitemporal_xy
XY_000000474215,-89.161112,16.653768,19,1,1,19,1,1,2000,2018,Belice,95.89345234849463,95.89345234849463,95.89345234849463,multitemporal_xy
XY_000000474246,-89.161011,16.644735,19,1,1,19,1,1,2000,2018,Belice,95.9505327151077,95.9505327151077,95.9505327151077,multitemporal_xy
XY_000000474279,-89.16091,16.635701,19,1,1,19,1,1,2000,2018,Belice,92.97818736009373,92.97818736009373,92.97818736009373,multitemporal_xy
XY_000000474318,-89.160809,16.626668,19,1,1,19,1,1,2000,2018,Belice,92.79489857837078,92.79489857837078,92.79489857837078,multitemporal_xy
XY_000000474349,-89.160708,16.617634,19,1,1,19,1,1,2000,2018,Belice,89.54679585183695,89.54679585183695,89.54679585183695,multitemporal_xy
XY_000000474381,-89.160607,16.608601,19,1,1,19,1,1,2000,2018,Belice,88.41152318327445,88.41152318327445,88.41152318327445,multitemporal_xy
XY_000000474421,-89.160506,16.599567,19,1,1,19,1,1,2000,2018,Belice,93.65886659317937,93.65886659317937,93.65886659317937,multitemporal_xy
XY_000000474453,-89.16040499999998,16.590534,19,1,1,19,1,1,2000,2018,Belice,87.72134251291848,87.72134251291848,87.72134251291848,multitemporal_xy
XY_000000474494,-89.16030399999998,16.581501,19,1,1,19,1,1,2000,2018,Belice,86.70262378334624,86.70262378334624,86.70262378334624,multitemporal_xy
XY_000000474529,-89.16020299999998,16.572467,19,1,1,19,1,1,2000,2018,Belice,89.32269057894848,89.32269057894848,89.32269057894848,multitemporal_xy
XY_000000474556,-89.16010199999998,16.563434,19,1,1,19,1,1,2000,2018,Belice,90.64730407589258,90.64730407589258,90.64730407589258,multitemporal_xy
XY_000000474603,-89.16000099999998,16.5544,19,1,1,19,1,1,2000,2018,Belice,94.53540970017266,94.53540970017266,94.53540970017266,multitemporal_xy
XY_000000474633,-89.159901,16.545367,19,1,1,19,1,1,2000,2018,Belice,91.64447541409831,91.64447541409831,91.64447541409831,multitemporal_xy
XY_000000474660,-89.1598,16.536333,19,1,1,19,1,1,2000,2018,Belice,92.51502685952126,92.51502685952126,92.51502685952126,multitemporal_xy
XY_000000474696,-89.1597,16.5273,19,1,1,19,1,1,2000,2018,Belice,85.09961720670616,85.09961720670616,85.09961720670616,multitemporal_xy
XY_000000474722,-89.159599,16.518266,19,1,1,19,1,1,2000,2018,Belice,94.01368196341953,94.01368196341953,94.01368196341953,multitemporal_xy
XY_000000474754,-89.15949899999998,16.509233,19,1,1,19,1,1,2000,2018,Belice,88.51201838653685,88.51201838653685,88.51201838653685,multitemporal_xy
XY_000000474795,-89.15939899999998,16.500199,19,1,1,19,1,1,2000,2018,Belice,86.98175579089079,86.98175579089079,86.98175579089079,multitemporal_xy
XY_000000474824,-89.159298,16.491166,19,1,1,19,1,1,2000,2018,Belice,84.1437108631228,84.1437108631228,84.1437108631228,multitemporal_xy
XY_000000474864,-89.159198,16.482132,19,1,1,19,1,1,2000,2018,Belice,84.1355584658984,84.1355584658984,84.1355584658984,multitemporal_xy
XY_000000474895,-89.159098,16.473098,19,1,1,19,1,1,2000,2018,Belice,88.04265052795577,88.04265052795577,88.04265052795577,multitemporal_xy
XY_000000474925,-89.15899799999998,16.464065,19,1,1,19,1,1,2000,2018,Belice,89.53697015458933,89.53697015458933,89.53697015458933,multitemporal_xy
XY_000000474967,-89.15889799999998,16.455031,19,1,1,19,1,1,2000,2018,Belice,91.52873395417262,91.52873395417262,91.52873395417262,multitemporal_xy
XY_000000474995,-89.158798,16.445998,19,1,1,19,1,1,2000,2018,Belice,90.3501005366585,90.3501005366585,90.3501005366585,multitemporal_xy
XY_000000475024,-89.158698,16.436964,19,1,1,19,1,1,2000,2018,Belice,90.67261077241427,90.67261077241427,90.67261077241427,multitemporal_xy
XY_000000475062,-89.158598,16.427931,19,1,1,19,1,1,2000,2018,Belice,85.91541833590807,85.91541833590807,85.91541833590807,multitemporal_xy
XY_000000475089,-89.158499,16.418897,19,1,1,19,1,1,2000,2018,Belice,93.6550473469152,93.6550473469152,93.6550473469152,multitemporal_xy
XY_000000475133,-89.158399,16.409863,19,1,1,19,1,1,2000,2018,Belice,85.86090939916552,85.86090939916552,85.86090939916552,multitemporal_xy
XY_000000475161,-89.158299,16.40083,19,1,1,19,1,1,2000,2018,Belice,84.41568013411764,84.41568013411764,84.41568013411764,multitemporal_xy
XY_000000475191,-89.15819999999998,16.391796,19,1,1,19,1,1,2000,2018,Belice,84.28212720461141,84.28212720461141,84.28212720461141,multitemporal_xy
XY_000000475234,-89.1581,16.382763,19,1,1,19,1,1,2000,2018,Belice,90.04352445624261,90.04352445624261,90.04352445624261,multitemporal_xy
XY_000000475261,-89.158001,16.373729,19,1,1,19,1,1,2000,2018,Belice,81.29522821951976,81.29522821951976,81.29522821951976,multitemporal_xy
XY_000000475290,-89.157902,16.364695,19,1,1,19,1,1,2000,2018,Belice,94.21281303017777,94.21281303017777,94.21281303017777,multitemporal_xy
XY_000000475337,-89.157802,16.355662,19,1,1,19,1,1,2000,2018,Belice,85.78876808084257,85.78876808084257,85.78876808084257,multitemporal_xy
XY_000000475367,-89.157703,16.346628,19,1,1,19,1,1,2000,2018,Belice,91.37507255682301,91.37507255682301,91.37507255682301,multitemporal_xy
XY_000000475408,-89.157604,16.337594,19,1,1,19,1,1,2000,2018,Belice,92.30365240751328,92.30365240751328,92.30365240751328,multitemporal_xy
XY_000000475441,-89.157505,16.328561,19,1,1,19,1,1,2000,2018,Belice,93.69381600573118,93.69381600573118,93.69381600573118,multitemporal_xy
XY_000000475468,-89.15740599999998,16.319527,19,1,1,19,1,1,2000,2018,Belice,92.56161699208309,92.56161699208309,92.56161699208309,multitemporal_xy
XY_000000475510,-89.157307,16.310493,19,1,1,19,1,1,2000,2018,Belice,90.8392062214054,90.8392062214054,90.8392062214054,multitemporal_xy
XY_000000475536,-89.15720799999998,16.301459,19,1,1,19,1,1,2000,2018,Belice,88.86722696916524,88.86722696916524,88.86722696916524,multitemporal_xy
XY_000000475563,-89.157109,16.292426,19,1,1,19,1,1,2000,2018,Belice,90.29874899922301,90.29874899922301,90.29874899922301,multitemporal_xy
