subset,nivel,fuente,clase,n_registros,pct_fuente_subset
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ El Salvador,41 Bosque latifoliado y mixto,153516,29.853219
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ El Salvador,31 Cultivos intensivos No-Arbóreos,125285,24.363327
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ El Salvador,"33 Cultivos extensivos, Pastizales y matorrales",123449,24.006293
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ El Salvador,32 Cultivos Arbóreos,61798,12.017439
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ El Salvador,11 Urbano,23462,4.562497
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ El Salvador,43 Manglares,10180,1.979636
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ El Salvador,42 Bosque de coníferas,8554,1.663439
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ El Salvador,12 Otras tierras,3946,0.767352
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ El Salvador,44 Otros arbóreo en tierras no agrícola,2273,0.442015
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ El Salvador,21 Cuerpos de Agua,1773,0.344783
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,41 Bosque latifoliado y mixto,35111,37.900475
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,"33 Cultivos extensivos, Pastizales y matorrales",31242,33.724093
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,42 Bosque de coníferas,14943,16.130181
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,32 Cultivos Arbóreos,4348,4.693437
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,22 Humedales,2373,2.561528
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,31 Cultivos intensivos No-Arbóreos,1942,2.096287
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,11 Urbano,1346,1.452936
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,21 Cuerpos de Agua,805,0.868955
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,43 Manglares,490,0.528929
