row_hash,n,tipo_revision
4579342484836838012,2,hash_atributos_sin_geometria
10928341399818831577,2,hash_atributos_sin_geometria
17886976730274623341,2,hash_atributos_sin_geometria
4840393563329760977,2,hash_atributos_sin_geometria
3769782647404601166,2,hash_atributos_sin_geometria
11707146377282189131,2,hash_atributos_sin_geometria
17356598065083001187,2,hash_atributos_sin_geometria
16819212484375697529,2,hash_atributos_sin_geometria
803406658670228170,2,hash_atributos_sin_geometria
15432143547395462869,2,hash_atributos_sin_geometria
6793146523031019073,2,hash_atributos_sin_geometria
10573568030659402312,2,hash_atributos_sin_geometria
6941189852076054279,2,hash_atributos_sin_geometria
15294431096457674653,2,hash_atributos_sin_geometria
6567340312756648605,2,hash_atributos_sin_geometria
6773902876140464101,2,hash_atributos_sin_geometria
8906232215228020623,2,hash_atributos_sin_geometria
2511220961766740781,2,hash_atributos_sin_geometria
11107668864948772090,2,hash_atributos_sin_geometria
5315725382594300710,2,hash_atributos_sin_geometria
10842332752855180340,2,hash_atributos_sin_geometria
11157963050904659514,2,hash_atributos_sin_geometria
3211353162763479486,2,hash_atributos_sin_geometria
8794550080289026334,2,hash_atributos_sin_geometria
16128134572744972462,2,hash_atributos_sin_geometria
7219054033287807019,2,hash_atributos_sin_geometria
9856919230967917854,2,hash_atributos_sin_geometria
1468272935803015941,2,hash_atributos_sin_geometria
14992198615606601079,2,hash_atributos_sin_geometria
1992047711787032478,2,hash_atributos_sin_geometria
8427341766856292320,2,hash_atributos_sin_geometria
15530054922671633316,2,hash_atributos_sin_geometria
17667715723491929326,2,hash_atributos_sin_geometria
9527127191704378189,2,hash_atributos_sin_geometria
5533737903296880834,2,hash_atributos_sin_geometria
1199968988145109331,2,hash_atributos_sin_geometria
10728109189493667151,2,hash_atributos_sin_geometria
16765953821586364000,2,hash_atributos_sin_geometria
1752879431876430403,2,hash_atributos_sin_geometria
5475363082222354608,2,hash_atributos_sin_geometria
4600137634355986223,2,hash_atributos_sin_geometria
5386202118236844182,2,hash_atributos_sin_geometria
5709326443232060644,2,hash_atributos_sin_geometria
1418294263076003680,2,hash_atributos_sin_geometria
8072173957717186476,2,hash_atributos_sin_geometria
16064890605428413948,2,hash_atributos_sin_geometria
8763176069204077936,2,hash_atributos_sin_geometria
16323849758793938162,2,hash_atributos_sin_geometria
5484440060015816080,2,hash_atributos_sin_geometria
14146955172360225871,2,hash_atributos_sin_geometria
17715085483630002880,2,hash_atributos_sin_geometria
13403013171473981322,2,hash_atributos_sin_geometria
3313194037937803315,2,hash_atributos_sin_geometria
11088527379408549519,2,hash_atributos_sin_geometria
6528449263300413109,2,hash_atributos_sin_geometria
4480799515014937720,2,hash_atributos_sin_geometria
12051451941724320783,2,hash_atributos_sin_geometria
8847156948456209437,2,hash_atributos_sin_geometria
13025286055107266275,2,hash_atributos_sin_geometria
13273477964361284314,2,hash_atributos_sin_geometria
12838368886833543363,2,hash_atributos_sin_geometria
3263991450438823277,2,hash_atributos_sin_geometria
9350658495302286988,2,hash_atributos_sin_geometria
4963982861832323706,2,hash_atributos_sin_geometria
13915571636061739926,2,hash_atributos_sin_geometria
17512893384776042369,2,hash_atributos_sin_geometria
17135140603319937946,2,hash_atributos_sin_geometria
4354213212470101817,2,hash_atributos_sin_geometria
12329467131418518563,2,hash_atributos_sin_geometria
8189349177613744832,2,hash_atributos_sin_geometria
3772105550221690548,2,hash_atributos_sin_geometria
2576015213286521475,2,hash_atributos_sin_geometria
6637401144903354314,2,hash_atributos_sin_geometria
5898445580351741971,2,hash_atributos_sin_geometria
12888373032116295225,2,hash_atributos_sin_geometria
10513492630233519441,2,hash_atributos_sin_geometria
5656049697735003617,2,hash_atributos_sin_geometria
10166533552954826291,2,hash_atributos_sin_geometria
15554692800281154850,2,hash_atributos_sin_geometria
2472335531672523243,2,hash_atributos_sin_geometria
11155129831251262674,2,hash_atributos_sin_geometria
5850796085833320059,2,hash_atributos_sin_geometria
7917599648974354286,2,hash_atributos_sin_geometria
15892741735463195079,2,hash_atributos_sin_geometria
218643916012199540,2,hash_atributos_sin_geometria
1868039981780135107,2,hash_atributos_sin_geometria
11099573359410070755,2,hash_atributos_sin_geometria
9709571494060456253,2,hash_atributos_sin_geometria
1347110164908100944,2,hash_atributos_sin_geometria
2450838363360257953,2,hash_atributos_sin_geometria
