subset,xy_group_id,lon,lat,pais_grupo,tipo_grupo_original,n_registros_original,n_registros_subset,estado_xy_subset,source_rowid,pais,fuente,anio,nivel_0,nivel_1,nivel_2
ventana_2018_2022,XY_000001096944,-84.3561628086,10.974083,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,517753,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001096945,-84.3561628086,10.974506306,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,517736,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000001096945,-84.3561628086,10.974506306,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,517754,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001097010,-84.3560031913,10.0833709999,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,420753,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001097010,-84.3560031913,10.0833709999,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,434446,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,90 Otras,91 Otras,910 Otras
ventana_2018_2022,XY_000001097055,-84.35587980859998,10.735115,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,502828,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000001097055,-84.35587980859998,10.735115,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,503277,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001097056,-84.35587980859998,10.7355386446,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,502829,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000001097056,-84.35587980859998,10.7355386446,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,503278,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001097190,-84.35569099999998,10.1915726124,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,462415,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000001097190,-84.35569099999998,10.1915726124,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,462929,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001097319,-84.35557199999998,10.0829464685,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,420741,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001097319,-84.35557199999998,10.0829464685,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,420747,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",331 Granos básicos y hortalizas  y otros
