subset,pais_grupo,valores_nivel1_subset,valores_nivel2_subset,n_grupos,n_registros,promedio_anios,anio_min_global,anio_max_global
ventana_2018_2022,Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales","331 Granos básicos y hortalizas  y otros,332 Pastizales naturales y cultivados",63,126,1.0,2021,2021
ventana_2018_2022,Costa Rica,"41 Bosque latifoliado y mixto,44 Otros arbóreo en tierras no agrícola","410 Bosque latifoliado y mixto,442 Plantaciones forestales",62,124,1.0,2021,2021
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,41 Bosque latifoliado y mixto","333 Matorrales (barbecho o en descanso),414 Bosque seco o deciduo",23,115,5.0,2018,2022
ventana_2018_2022,Honduras,32 Cultivos Arbóreos,"321 Café,325 Otros sistemas agroforestales o silvopastoriles",20,100,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,41 Bosque latifoliado y mixto","333 Matorrales (barbecho o en descanso),410 Bosque latifoliado y mixto",19,95,5.0,2018,2022
ventana_2018_2022,Costa Rica,"22 Humedales,91 Otras","220 Humedales,910 Otras",45,90,1.0,2021,2021
ventana_2018_2022,Honduras,"42 Bosque de coníferas,33 Cultivos extensivos, Pastizales y matorrales","420 Bosque de coníferas,333 Matorrales (barbecho o en descanso)",18,90,5.0,2018,2022
ventana_2018_2022,Honduras,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,331 Granos básicos y hortalizas  y otros",16,80,5.0,2018,2022
ventana_2018_2022,Honduras,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","414 Bosque seco o deciduo,332 Pastizales naturales y cultivados",16,80,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),332 Pastizales naturales y cultivados",14,70,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),331 Granos básicos y hortalizas  y otros",13,65,5.0,2018,2022
ventana_2018_2022,Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,44 Otros arbóreo en tierras no agrícola","332 Pastizales naturales y cultivados,442 Plantaciones forestales",31,62,1.0,2021,2021
ventana_2018_2022,Honduras,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","414 Bosque seco o deciduo,333 Matorrales (barbecho o en descanso)",12,60,5.0,2018,2022
ventana_2018_2022,Honduras,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","414 Bosque seco o deciduo,331 Granos básicos y hortalizas  y otros",11,55,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales","332 Pastizales naturales y cultivados,333 Matorrales (barbecho o en descanso)",8,40,5.0,2018,2022
