subset,xy_group_id,lon,lat,pais_grupo,tipo_grupo_original,n_registros_original,n_registros_conflicto,n_paises,n_fuentes,n_anios,n_nivel0,n_nivel1,n_nivel2,anio_min,anio_max,paises,fuentes,anios,valores_nivel_0,valores_nivel_1,valores_nivel_2,flag_conflicto_mismo_anio,flag_conflicto_multifuente_mismo_anio,max_fuentes_en_un_anio,max_nivel1_en_un_anio,max_nivel2_en_un_anio,flag_forestal,flag_no_forestal,flag_bosque_vs_no_bosque,flag_agropecuario,flag_residual_otras,flag_agua_humedal,tipo_conflicto,severidad_conflicto,recomendacion_operativa,score_prioridad_revision
ventana_2018_2022,XY_000000930250,-87.5295955,15.68683065,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2020,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","332 Pastizales naturales y cultivados,323 Frutales",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000931608,-87.50713761,14.72114172,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","333 Matorrales (barbecho o en descanso),321 Café",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000931627,-87.50713761,15.14784148,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","331 Granos básicos y hortalizas  y otros,332 Pastizales naturales y cultivados",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000935989,-87.41730608999998,15.59699912,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2019,2021,2022,2018",30 Tierras de Cultivo y Pastos,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","311 Palma aceitera,333 Matorrales (barbecho o en descanso)",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000937132,-87.3948482,15.55208336,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2021,2022,2020,2018,2019",30 Tierras de Cultivo y Pastos,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","311 Palma aceitera,332 Pastizales naturales y cultivados",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000939230,-87.34993244,15.03555207,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","331 Granos básicos y hortalizas  y otros,333 Matorrales (barbecho o en descanso)",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000941280,-87.30501667999998,13.44104244,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),331 Granos básicos y hortalizas  y otros",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000943562,-87.23764303,15.19275724,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022","30 Tierras de Cultivo y Pastos,20 Tierras húmedas y agua","33 Cultivos extensivos, Pastizales y matorrales,21 Cuerpos de Agua","332 Pastizales naturales y cultivados,210 Cuerpos de Agua",0,0,1,1,1,0,1,0,1,0,1,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000944290,-87.21518514999998,15.77666218,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2022,2021,2018,2019","30 Tierras de Cultivo y Pastos,20 Tierras húmedas y agua","33 Cultivos extensivos, Pastizales y matorrales,22 Humedales","332 Pastizales naturales y cultivados,220 Humedales",0,0,1,1,1,0,1,0,1,0,1,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000944880,-87.19272726,13.59824761,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),332 Pastizales naturales y cultivados",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
