xy_year_group_id,xy_group_id,lon,lat,year_ref,records,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_thematic_conflict
SRC10_CRI_2021__XYY__01a790a468d4,SRC10_CRI_2021__XY__c956a28834b1,-85.604254,10.503153,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01a7fe8f8bf9,SRC10_CRI_2021__XY__cb24eb71efd8,-85.474645,10.333653,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01a9e176a375,SRC10_CRI_2021__XY__2a98fc151fc0,-85.223831,10.425206,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01aabef02d53,SRC10_CRI_2021__XY__58d7a9ff53b4,-85.494208,10.453014,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01b043a993ab,SRC10_CRI_2021__XY__d982952e6b33,-85.40714,10.341194,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01b2d526bb8c,SRC10_CRI_2021__XY__9aa9b99289e5,-85.68965,10.284339,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01b54125c8c8,SRC10_CRI_2021__XY__4513c91bb0df,-85.286259,10.200517,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01b6ef1f420a,SRC10_CRI_2021__XY__179896a0bb73,-85.271515,10.206609,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01bc82372d83,SRC10_CRI_2021__XY__0e8ca6e98ff1,-85.527941,10.443202,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01bde64cde80,SRC10_CRI_2021__XY__1a2c823dda6a,-85.426722,10.470216,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01ceff41c9c7,SRC10_CRI_2021__XY__599bf0616507,-85.479332,10.432572,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01d12a9821c8,SRC10_CRI_2021__XY__001a5166b2f9,-85.519998,10.106606,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01d8ad677127,SRC10_CRI_2021__XY__492ab7b1b32c,-85.309075,10.467884,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01db5c0c5797,SRC10_CRI_2021__XY__6296396b703a,-85.264918,10.40033,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01dce9368549,SRC10_CRI_2021__XY__0aa2d0b64857,-85.717242,10.504945,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01e330e51917,SRC10_CRI_2021__XY__3d4b480703c5,-85.421466,10.240982,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01e3c2454b96,SRC10_CRI_2021__XY__1ee460e2fdf8,-85.596739,10.543957,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01eace546a0a,SRC10_CRI_2021__XY__4542964bdb14,-85.576538,10.515046,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01eba693924b,SRC10_CRI_2021__XY__b8c412d4e606,-85.382002,10.384742,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01ed23e780dc,SRC10_CRI_2021__XY__91f042eb5bc2,-85.669721,10.163442,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01ef6c2da142,SRC10_CRI_2021__XY__f60daef462bc,-85.271794,10.276596,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01f28eb8f380,SRC10_CRI_2021__XY__0ba0040b3f2d,-85.560038,10.528711,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01f6003c3889,SRC10_CRI_2021__XY__67c96638d94a,-85.318825,10.421208,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01facaaeea5a,SRC10_CRI_2021__XY__e67f52c95f00,-85.49621,10.43008,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01fbde4ccec6,SRC10_CRI_2021__XY__eb4352f23ec8,-85.462251,10.391626,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0205c08a4d52,SRC10_CRI_2021__XY__a27b39865392,-85.400943,10.189505,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__020d84f6aa30,SRC10_CRI_2021__XY__a3c911980a86,-85.514832,10.351565,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__020f1737b0f7,SRC10_CRI_2021__XY__fd2ff75c6b10,-85.390996,10.531508,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__021074d75d36,SRC10_CRI_2021__XY__f44157e18bdc,-85.637975,10.490916,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0212a2be674e,SRC10_CRI_2021__XY__73744e6738f5,-85.744788,10.334717,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0217e4146d73,SRC10_CRI_2021__XY__854d782c0135,-85.742953,10.353241,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0224610cf334,SRC10_CRI_2021__XY__f1d1c70c69ea,-85.470774,10.408479,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__022567ac3bed,SRC10_CRI_2021__XY__11e72cf814cf,-85.451247,10.293941,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__02258d4c0986,SRC10_CRI_2021__XY__496e366837de,-85.272891,10.10503,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__02267baca9ee,SRC10_CRI_2021__XY__efe899c0299f,-85.424373,10.234635,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__022932d485eb,SRC10_CRI_2021__XY__f768ed99fc52,-85.620829,10.531043,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__022cb3584a15,SRC10_CRI_2021__XY__62d0cbfb92a7,-85.599475,10.394591,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0234ff13b17d,SRC10_CRI_2021__XY__9d1b7f97948d,-85.49437,10.486798,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0236ec88dcea,SRC10_CRI_2021__XY__03cdc039a0f7,-85.320941,10.422406,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__023c4d7c878e,SRC10_CRI_2021__XY__9a3d4133eaf5,-85.7164,10.157519,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0240b7973ffb,SRC10_CRI_2021__XY__1e06368f98fe,-85.223136,10.456402,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__024b30d0a72c,SRC10_CRI_2021__XY__0da1f3049be3,-85.229868,10.34916,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__024bf12d6d72,SRC10_CRI_2021__XY__4f106a98da3f,-85.196554,10.469957,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__024e0a8b042f,SRC10_CRI_2021__XY__ab129b9c36c0,-85.207133,10.525616,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__024e3ee4c4af,SRC10_CRI_2021__XY__4eac2366e21d,-85.223297,10.287643,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__025133fad799,SRC10_CRI_2021__XY__cfe435bccb82,-85.365652,10.461346,2021,1,1,1,1,Costa Rica,CRI,0
