xy_group_id,lon,lat,records,n_years,year_min,year_max,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_temporal_repetition,has_thematic_conflict
SRC10_CRI_2021__XY__013181d28012,-85.290411,10.183607,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__01319d819bc7,-85.496754,10.388173,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__0132efc82515,-85.690963,10.133522,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__0133bfa3c042,-85.280283,10.288629,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__013669a23a95,-85.437101,10.22494,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__013cf3842065,-85.502804,10.484345,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__013e53daadc3,-85.435246,10.48707,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__0140592fab44,-85.583617,10.409838,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__01463d123608,-85.472755,10.380719,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__014a7defb374,-85.195618,10.368213,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__0150007af7b6,-85.685953,10.509545,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__0152439bf375,-85.407496,10.42083,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__01524613fa2f,-85.533233,10.423676,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__015cc91e42f7,-85.683049,10.390646,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__016803063028,-85.223699,10.456676,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__016cde43c4d3,-85.656174,10.331136,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__016e592010ca,-85.304822,10.095462,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__0170c4ce05ef,-85.481243,10.390332,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__0176dd73a766,-85.813922,10.246268,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__017f43d392fb,-85.532081,10.42629,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__01884ac07ebf,-85.547332,10.521534,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__018975348336,-85.252108,10.099286,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__018a12b33dbb,-85.487411,10.355313,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__0193db4c5587,-85.217008,10.298527,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__0196bb599e28,-85.224089,10.466957,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021__XY__0199dcbf3f04,-85.28781,10.100044,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
