xy_group_id,n_extract_units_spectral,n_spectral_rows,spectral_severity_order_max,spectral_alert_count_sum,pct_extract_units_sin_alerta,pct_extract_units_alerta_baja,pct_extract_units_alerta_media,pct_extract_units_alerta_alta,pct_extract_units_baja_disponibilidad,pct_extract_units_sin_datos,pct_extract_units_revision_espectral,s2yr_months_obs_median,s2yr_obs_total_median,s2yr_obs_mean_median,s2yr_cloudprob_median,s2yr_ndvi_mean,s2yr_ndvi_median,s2yr_ndvi8a_mean,s2yr_ndvi8a_median,s2yr_ndre_mean,s2yr_ndre_median,spectral_alert_level_max,score_espectral
SRC10_CRI_2021_A1__XY__f53932942926,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,38.0,3.1666666666666665,6.25,0.5443767745204204,0.5454463771898381,0.5859092328820147,0.5857811249490805,0.4368970624853848,0.4278041467826845,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f53b8d781aca,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,46.0,3.8333333333333335,6.5,0.21508559463220003,0.2236752136802176,0.25911890408647054,0.26084505154564563,0.19857043400295452,0.21032987551154092,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f53bee78b7b9,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,40.0,3.3333333333333335,4.25,0.6389738547343097,0.65311087441633,0.6526343041339243,0.6593882870478616,0.45956336307597373,0.46296695454197057,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f53d068defb2,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,36.0,3.0,7.0,0.388932717059668,0.3939213349225269,0.4235317738361246,0.4278948614728865,0.28789103658732934,0.2984381595609962,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f54df7a531eb,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,2.0,0.6510712599205193,0.6416940331261759,0.6819407925498671,0.672397787914784,0.48198139131735834,0.47170314825407833,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f55032b0fe7d,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,3.4166666666666665,4.5,0.4884847780288837,0.4472076733670909,0.5337234884187662,0.49701161202185795,0.34314956802034796,0.3081060908848679,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f55166f6b239,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,47.0,3.9166666666666665,2.0,0.5633527965009696,0.5934578087358018,0.5964911102018503,0.6280604349050951,0.40352389955339124,0.41504269357309403,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f55d21d89774,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,40.0,3.3333333333333335,7.0,0.41055123484727485,0.4123476378324414,0.43684551701924484,0.43345935627705967,0.2710950794208473,0.27323437444367993,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f560f7b25702,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,2.25,0.5318993047513114,0.5529127214106758,0.5624786044243154,0.5783066046228926,0.34719238270424463,0.35850631942830674,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f562051739ac,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,46.0,3.8333333333333335,6.75,0.41682434127672363,0.40418640464247735,0.4736319779108486,0.45871543558932715,0.36892716763092226,0.3637154831406932,sin_alerta,100.0
