xy_group_id,lon,lat,records,n_years,year_min,year_max,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_temporal_repetition,has_thematic_conflict
SRC10_CRI_2021_A1__XY__00acdef4aad1,-85.528379,10.532485,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00b0d82a95da,-85.464177,10.3518,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00b5253c6ad3,-85.659384,10.144541,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00b7443d8cea,-85.430835,10.446065,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00bc8601db0a,-85.39499,10.457084,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00c35a3ce453,-85.351007,10.529997,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00c51be5bb05,-85.343758,10.326985,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00c6133431dc,-85.291294,10.400807,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00c677b8ffeb,-85.215283,10.398691,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00ce1197ab1d,-85.342756,10.088069,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00ced91cb6f8,-85.351143,10.151967,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00d37ab81797,-85.38849,10.419706,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00d795551054,-85.759088,10.211144,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00d7bdd2ec0c,-85.250228,10.158422,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00ddb044ef5f,-85.487605,10.396336,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00e19da30b37,-85.54629,10.319403,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00e24d6d9cef,-85.779579,10.140292,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00e34b9fb165,-85.795533,10.308023,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00e85cfa9346,-85.201802,10.183945,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00e94e57678b,-85.429187,10.198032,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00ef3a2b4f94,-85.811613,10.207442,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00f334853f3e,-85.582742,10.255854,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00f3a5c1aa94,-85.445872,10.354441,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00f819d50e36,-85.259065,10.259752,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00fc8e232ab4,-85.370165,10.198175,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00fdc0d6d4de,-85.479127,10.389136,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00ffbd454134,-85.325389,10.47548,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__010415cbfe9a,-85.58151,10.159432,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0105f4cb6dd4,-85.669175,10.402681,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__010674e3abc4,-85.353956,10.54941,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__010b4d544d4c,-85.2557,10.527932,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__011158a97923,-85.315481,10.123173,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
