xy_year_group_id,xy_group_id,lon,lat,year_ref,records,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_thematic_conflict
SRC10_CRI_2021_A1__XYY__00af6d0d4c1c,SRC10_CRI_2021_A1__XY__46b56b35be2f,-85.458468,10.485758,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00b0a87d3c3f,SRC10_CRI_2021_A1__XY__09d76a683e20,-85.447347,10.363942,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00b28bf2ef28,SRC10_CRI_2021_A1__XY__d97408b56dca,-85.444452,10.191409,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00b543ad6182,SRC10_CRI_2021_A1__XY__b4bbd6aaabf8,-85.468623,10.400043,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00b7d913033a,SRC10_CRI_2021_A1__XY__4b86ed66decc,-85.557981,10.53958,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00b8b772ade5,SRC10_CRI_2021_A1__XY__25c5b2f4ebcb,-85.435246,10.48707,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00bbfa65266b,SRC10_CRI_2021_A1__XY__9a2b5bd603c5,-85.78279,10.372852,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00c4c7c25d9f,SRC10_CRI_2021_A1__XY__8b8c0c64dd2b,-85.653927,10.257985,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00c7056766ee,SRC10_CRI_2021_A1__XY__f9a80f276a2f,-85.339407,10.445609,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00cc7a8727f0,SRC10_CRI_2021_A1__XY__39a7eb13a4b9,-85.546698,10.393643,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00cd45ec1e1c,SRC10_CRI_2021_A1__XY__5509fd34a73f,-85.483201,10.357746,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00d053e5b2de,SRC10_CRI_2021_A1__XY__efe18b1f470a,-85.735325,10.428766,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00d20a949a9e,SRC10_CRI_2021_A1__XY__cf26cdb56813,-85.513064,10.422761,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00d3405fde4d,SRC10_CRI_2021_A1__XY__2278862a7f92,-85.257641,10.432315,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00d536b170a7,SRC10_CRI_2021_A1__XY__31470b6a7f37,-85.572611,10.509344,2021,1,1,1,1,Costa Rica,CRI,0
