audit_country,level_0_code,level_0_name,level_1_code,level_1_name_ref,level_2_code,level_2_name_ref,n_records,n_extract_id,n_years,n_no_spectral_data,n_low_months_obs,n_high_cloudprob,n_rare_spectral_value,n_spectral_class_review,s2yr_months_obs_median,s2yr_ndvi_median,s2yr_ndre_median,pct_no_spectral_data,pct_low_months_obs,pct_rare_spectral_value,pct_spectral_class_review,pct_alert_medium_high,class_priority_level
El Salvador,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,414.0,Bosque seco o deciduo,19,19,5,0,6,0,0,6,12.0,0.7298851077149074,0.5551079873150171,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
México,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,311.0,Palma aceitera,19,13,1,0,0,0,0,0,12.0,0.8567722551798809,0.6628083735109431,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
Panamá,20,Tierras húmedas y agua,22.0,Humedales,220.0,Humedales,16,16,1,0,0,0,0,0,10.0,0.6867376251992112,0.4570134017482259,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
Panamá,10,Artificializado y otra tierras,12.0,Otras tierras,121.0,Otros artificializado,10,10,1,0,0,0,0,0,10.0,0.04222710274772607,0.021326025219961874,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
Panamá,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,445.0,Bosque de Palmas,10,10,1,0,0,0,0,0,10.5,0.8223374004661297,0.6044854551974859,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
México,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,321.0,Café,8,8,1,0,0,0,0,0,12.0,0.7858912470720862,0.5754944094682358,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
Belice,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,311.0,Palma aceitera,6,6,1,0,0,0,0,0,12.0,0.7164625703190906,0.49465592688357335,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
Nicaragua,20,Tierras húmedas y agua,22.0,Humedales,220.0,Humedales,6,6,1,0,0,0,0,0,10.0,0.6394232656890357,0.4488233009719502,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
El Salvador,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,312.0,Bananeras,5,5,1,0,0,0,0,0,12.0,0.6194231854974952,0.46513899226051364,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
El Salvador,90,Otras,91.0,Otras,910.0,Otras,5,5,1,0,0,0,0,0,11.0,0.6309793646061731,0.4444815074579631,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
Guatemala,40,Tierras Forestales,42.0,Bosque de coníferas,420.0,Bosque de coníferas,5,5,2,0,0,0,0,0,7.5,0.8243655727630482,0.6158080125931082,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
México,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,312.0,Bananeras,5,5,1,0,0,0,0,0,12.0,0.7804032383537267,0.5641299078940609,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
Nicaragua,40,Tierras Forestales,43.0,Manglares,430.0,Manglares,5,5,5,0,0,0,0,0,12.0,0.9112853869313686,0.658872441188271,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
Panamá,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,325.0,Otros sistemas agroforestales o silvopastoriles,5,5,1,0,0,0,0,0,9.0,0.7533762000578292,0.5694575646998647,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
México,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,445.0,Bosque de Palmas,4,4,1,0,0,0,0,0,11.0,0.7033646162673243,0.461027862917822,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
Panamá,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,323.0,Frutales,3,3,1,0,0,0,0,0,6.0,0.6790646978520976,0.4413729489456688,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
Panamá,90,Otras,91.0,Otras,910.0,Otras,2,2,1,0,0,0,0,0,7.5,0.6599222969328428,0.4500398866237729,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
Guatemala,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,441.0,Masa arbórea ribereña,1,1,1,0,0,0,0,0,12.0,0.7887755406046653,0.5686777973553072,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
Guatemala,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,442.0,Plantaciones forestales,1,1,1,0,0,0,0,0,12.0,0.7254602553581216,0.5109467023777502,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
Nicaragua,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,311.0,Palma aceitera,1,1,1,0,0,0,0,0,8.0,0.7085229294337212,0.5523177650768359,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
Nicaragua,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,410.0,Bosque latifoliado y mixto,1,1,1,0,0,0,0,0,10.0,0.7595209546868165,0.5451081700256757,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
