xy_group_id,n_extract_units_spectral,n_spectral_rows,spectral_severity_order_max,spectral_alert_count_sum,pct_extract_units_sin_alerta,pct_extract_units_alerta_baja,pct_extract_units_alerta_media,pct_extract_units_alerta_alta,pct_extract_units_baja_disponibilidad,pct_extract_units_sin_datos,pct_extract_units_revision_espectral,s2yr_months_obs_median,s2yr_obs_total_median,s2yr_obs_mean_median,s2yr_cloudprob_median,s2yr_ndvi_mean,s2yr_ndvi_median,s2yr_ndvi8a_mean,s2yr_ndvi8a_median,s2yr_ndre_mean,s2yr_ndre_median,spectral_alert_level_max,score_espectral
SRC15_PAN_2021__XY__667c15f4ba6f,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,1.4166666666666667,2.25,0.7417211642600607,0.739325247223191,0.77243678063255,0.7760885891407722,0.5366703250498145,0.5280697737825112,sin_alerta,100.0
SRC15_PAN_2021__XY__667e463e95cf,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,29.0,2.4166666666666665,2.0,0.6717425200946152,0.6899139666849716,0.6929622398189615,0.7106252135292108,0.4554383625488817,0.4890706319702602,sin_alerta,100.0
SRC15_PAN_2021__XY__668109fd43f9,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,2.4166666666666665,8.5,0.7501425264957396,0.7838159460531535,0.7737378504175548,0.8009132420091324,0.55538248621782,0.5808882475549143,sin_alerta,100.0
SRC15_PAN_2021__XY__6681fcb3a132,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,1.6666666666666667,7.5,0.7760481738627205,0.7858766252678111,0.7915812118636333,0.8183613030602171,0.5896685958340998,0.5803108808290155,sin_alerta,100.0
SRC15_PAN_2021__XY__668b02067889,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,31.0,2.5833333333333335,4.0,0.7942870093088703,0.7980871457394532,0.8169127725676527,0.8224182032471027,0.5156303049591675,0.5176811594202899,sin_alerta,100.0
SRC15_PAN_2021__XY__668b352e292f,1,1,3,4,0.0,0.0,0.0,100.0,100.0,0.0,100.0,3.0,3.0,0.25,18.0,0.6354535909812646,0.6214582546278805,0.6615796116997128,0.6440497335701598,0.49049596670037915,0.4854758465735838,alta,0.0
SRC15_PAN_2021__XY__669254929a46,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,1.6666666666666667,4.0,0.846445050576099,0.8722750997850783,0.858626376985525,0.8787956827064407,0.6269758698576231,0.6223760830907822,sin_alerta,100.0
SRC15_PAN_2021__XY__66948cb27aa0,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,32.0,2.6666666666666665,6.75,0.7845900902811496,0.7947620871165313,0.8002607416827449,0.8117451981404049,0.5983590233350362,0.598036466142172,sin_alerta,100.0
SRC15_PAN_2021__XY__669534ae3966,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,2.0833333333333335,4.5,0.8892936744071218,0.8924519555726224,0.8979578756660013,0.8986621575125422,0.6660160155756287,0.6634844643820318,sin_alerta,100.0
SRC15_PAN_2021__XY__6699009f234a,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,1.5,4.5,0.8535400304540425,0.8654365584859133,0.8639252623867505,0.8756801039285027,0.6286895418335939,0.6282324809525355,sin_alerta,100.0
SRC15_PAN_2021__XY__669f0807e697,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0,2.25,5.5,0.6734860479367456,0.695350073939312,0.6994476263175767,0.7249916601895889,0.4524014230423618,0.4538129224472982,sin_alerta,100.0
SRC15_PAN_2021__XY__669fa0f0b0ba,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,31.0,2.5833333333333335,6.0,0.7532733418959269,0.7891790714830993,0.7779635250249434,0.7933221970329714,0.5395125300704667,0.5362584909124289,sin_alerta,100.0
SRC15_PAN_2021__XY__66a1164bb5ea,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,1.9166666666666667,2.0,0.6092721202009926,0.6154214559386973,0.6490474479044288,0.6682503614955588,0.4446651597985131,0.4659647848974406,sin_alerta,100.0
SRC15_PAN_2021__XY__66a29265d11d,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,2.0833333333333335,6.0,0.8380539222137686,0.8280752948948685,0.8537105859681317,0.8448564362584663,0.6483608346094406,0.6333661564233757,sin_alerta,100.0
SRC15_PAN_2021__XY__66a63a7de7ac,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,2.0833333333333335,7.0,0.61834987070622,0.6648052897421357,0.6574361902742842,0.6969077217818267,0.4275905796402726,0.45152851789158105,sin_alerta,100.0
SRC15_PAN_2021__XY__66a6439a8724,1,1,2,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,11.0,21.0,1.75,13.0,0.6144202874014071,0.6004103616311874,0.6422414083432343,0.6317590691307324,0.5099845310099768,0.5024844720496894,media,45.0
SRC15_PAN_2021__XY__66ac04b459ad,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0,2.25,6.0,0.7810387012504298,0.7952723813982818,0.8019865259468844,0.8142153388622747,0.5628369672838188,0.5627189180822523,sin_alerta,100.0
SRC15_PAN_2021__XY__66b8240569d0,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,32.0,2.6666666666666665,4.0,0.7418688414057837,0.7463702359346642,0.7620098199731019,0.7741414141414141,0.5107040561653841,0.5342163355408388,sin_alerta,100.0
SRC15_PAN_2021__XY__66b9d010afc5,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,26.0,2.1666666666666665,5.75,0.7635352235745088,0.780771444770969,0.7569489337754353,0.7666547171168236,0.5616192007749424,0.5634197625649311,sin_alerta,100.0
SRC15_PAN_2021__XY__66da2b7a4985,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,2.0833333333333335,4.25,0.8907895074811006,0.8937482972390793,0.8999053767851698,0.9027546350435556,0.6870013183150062,0.6886834680290919,sin_alerta,100.0
SRC15_PAN_2021__XY__66db3b98df25,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0,2.25,7.5,0.7841275740660012,0.8065027403753962,0.8024015144553063,0.819781310865938,0.537626795409992,0.5397817211296612,sin_alerta,100.0
SRC15_PAN_2021__XY__66e5983bd5f1,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,29.0,2.4166666666666665,3.0,0.8518112080172676,0.875241512558653,0.8648090874435984,0.8809299805002553,0.6265767150433329,0.6299713649379574,sin_alerta,100.0
SRC15_PAN_2021__XY__66e8cf6522c0,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,2.25,4.0,0.8648649631182704,0.8663548279318408,0.8760543654595471,0.8806326469710534,0.6130524674104231,0.5990865262623699,sin_alerta,100.0
SRC15_PAN_2021__XY__66ed31d80621,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,28.0,2.3333333333333335,7.0,0.6084025789285933,0.5586353944562901,0.6395249575186749,0.5875460328088382,0.43237618287732216,0.4082568807339449,sin_alerta,100.0
SRC15_PAN_2021__XY__66ee8c3dd37c,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,1.9166666666666667,2.0,0.7766331025240946,0.7901178603807797,0.7932843752061551,0.804021164021164,0.5605162073058633,0.5763706557838018,sin_alerta,100.0
SRC15_PAN_2021__XY__66f21cd8286c,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,1.9166666666666667,2.5,0.7479370298775913,0.7613544746036012,0.7685487109319072,0.7806324110671937,0.5133283162772778,0.5275849470222873,sin_alerta,100.0
SRC15_PAN_2021__XY__66f9c25beb9f,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,28.0,2.3333333333333335,4.5,0.8110714978899528,0.8174735670562048,0.8252410372838008,0.8259840189405151,0.5131550736035522,0.5257678292555961,sin_alerta,100.0
SRC15_PAN_2021__XY__6703105ea70f,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,40.0,3.3333333333333335,5.5,0.8101583140468667,0.828167402930001,0.8154918374542957,0.8293574787942655,0.6325196962412649,0.6282138001861609,sin_alerta,100.0
SRC15_PAN_2021__XY__670a05aebeca,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,2.4166666666666665,3.0,0.8772798727776098,0.8767615363360045,0.8903979949507304,0.8963014172139646,0.5960716397413809,0.597096003585218,sin_alerta,100.0
SRC15_PAN_2021__XY__670e3891c44e,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,1.75,3.25,0.6449930746653685,0.6582016645169932,0.66461550122043,0.687146283539181,0.43100618301044613,0.4338094359024204,sin_alerta,100.0
