xy_year_group_id,xy_group_id,lon,lat,year_ref,records,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_thematic_conflict
SRC15_PAN_2021__XYY__01ad06631d5d,SRC15_PAN_2021__XY__4b179d29372a,-82.139661,8.355953,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01b44839b218,SRC15_PAN_2021__XY__66581ed138ae,-81.933668,8.605207,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01b9e470ae37,SRC15_PAN_2021__XY__0c5444cb510f,-82.094729,8.523389,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01c0b432cf55,SRC15_PAN_2021__XY__bce06b249939,-82.063076,8.575479,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01c5f848bc1e,SRC15_PAN_2021__XY__1b62c469efdb,-82.315266,8.592788,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01cec8f74ce3,SRC15_PAN_2021__XY__7dbd495404a4,-81.884997,8.180238,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01d60fb97a6a,SRC15_PAN_2021__XY__01d04a8654d8,-82.276283,8.482141,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01e1f574f4bd,SRC15_PAN_2021__XY__2337a19fe49e,-82.398659,8.4139,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01e8b84a072b,SRC15_PAN_2021__XY__dce5fa19b0d4,-82.037484,8.349451,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01e9c8a360b5,SRC15_PAN_2021__XY__92228e16a325,-82.448563,8.402416,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01ebb984d4ef,SRC15_PAN_2021__XY__edaa6522d7bf,-82.398806,8.454592,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01ecb608209b,SRC15_PAN_2021__XY__a00301ac7df0,-82.176318,8.466629,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01ed4460152d,SRC15_PAN_2021__XY__5a8e86658a64,-82.462024,8.359415,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01f2aee14dd1,SRC15_PAN_2021__XY__4323aea15431,-82.284677,8.271859,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01f380ec0367,SRC15_PAN_2021__XY__28d0dff24262,-82.251688,8.599782,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01f7a5caa5f1,SRC15_PAN_2021__XY__34dfa99caac9,-82.081063,8.509862,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01f8d3360213,SRC15_PAN_2021__XY__70c699cf2651,-82.433539,8.635318,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01f90cf23ae2,SRC15_PAN_2021__XY__98f13a1b10f2,-82.141534,8.218031,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0200a03d11bc,SRC15_PAN_2021__XY__900adaffdd82,-82.230709,8.432549,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0209ec708e77,SRC15_PAN_2021__XY__d0ff64bbf650,-81.882888,8.252598,2021,1,1,1,1,Panamá,PAN,0
