batch_id,country,year_ref,records,batch_csv
s2sr_units_Guatemala_2020_batch_005,Guatemala,2020,6829,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Guatemala_2020_batch_005.csv
s2sr_units_Honduras_2018_batch_001,Honduras,2018,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Honduras_2018_batch_001.csv
s2sr_units_Honduras_2018_batch_002,Honduras,2018,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Honduras_2018_batch_002.csv
s2sr_units_Honduras_2018_batch_003,Honduras,2018,32683,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Honduras_2018_batch_003.csv
s2sr_units_Honduras_2019_batch_001,Honduras,2019,18520,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Honduras_2019_batch_001.csv
s2sr_units_Honduras_2020_batch_001,Honduras,2020,18520,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Honduras_2020_batch_001.csv
s2sr_units_Honduras_2021_batch_001,Honduras,2021,18520,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Honduras_2021_batch_001.csv
s2sr_units_Honduras_2022_batch_001,Honduras,2022,18520,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Honduras_2022_batch_001.csv
s2sr_units_Mxico_2018_batch_001,México,2018,758,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Mxico_2018_batch_001.csv
s2sr_units_Mxico_2019_batch_001,México,2019,1390,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Mxico_2019_batch_001.csv
