distance_m,raster_value,class_value,class_name,class_name_en,stratum_id,n_points,n_protected,class_area_ha
3000,13,13,Playa y arenal natural,Sand Beaches,13 | Playa y arenal natural,6,1,838.4200000000001
3000,15,15,Cítrico,Citrus,15 | Cítrico,1,1,119.56
3000,16,16,Palma aceitera,Oil Palm,16 | Palma aceitera,3,1,3721.1800000000003
3000,18,18,Otro cultivo permanente,Permanent Crops,18 | Otro cultivo permanente,3,1,541.57
3000,19,19,Arroz,Rice,19 | Arroz,5,1,2744.92
3000,20,20,Caña de azúcar,Sugar Cane,20 | Caña de azúcar,3,1,1839.57
3000,23,23,Piña,Pineapple,23 | Piña,1,1,575.6
3000,24,24,Otro cultivo anual,Other Annual Crops,24 | Otro cultivo anual,2,1,1368.8500000000001
3000,25,25,Área heterogénea de producción agropecuaria,Heterogeneous Area Agricultural Production,25 | Área heterogénea de producción agropecuaria,1,1,11.25
3000,26,26,Pasto,Pasture,26 | Pasto,130,1,116298.08
3000,27,27,Superficie de agua,Water Bodies,27 | Superficie de agua,12,1,9100.77
3000,28,28,Área poblada,Urban Areas,28 | Área poblada,9,1,6580.89
3000,29,29,Infraestructura,Infrastructure,29 | Infraestructura,2,1,2810.73
3000,31,31,Estanque para acuicultura,Aquaculture Ponds,31 | Estanque para acuicultura,1,1,5.8
